     100 files     200 files     300 files     310 text files.
classified 310 filesDuplicate file check 310 files (263 known unique)Unique:      100 files                                          Unique:      200 files                                               303 unique files.                              
Counting:  100Counting:  200Counting:  300      17 files ignored.

http://cloc.sourceforge.net v 1.62  T=17.98 s (16.0 files/s, 711.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
App/Help/WechatAddImage/XPAddImageView.m                                                                         48             15            275
App/Modules/SecondHandModule/ViewController/XPSecondHandOfPostDetailViewController.m                             18             10            268
App/Help/Activity/XPShareActivityViewController.m                                                                31              9            191
App/Help/WechatAddImage/XPOSSImageView.m                                                                         28             12            179
App/Help/AlertController/XPAlertController.m                                                                     27              9            151
App/Modules/SecondHandModule/ViewController/XPTransferOrBuyViewController.m                                      17              7            148
App/Help/MoreOptionsViewController/XPMoreOptionsViewController.m                                                 20              7            147
App/Modules/HomeModule/ViewController/XPHomeViewController.m                                                     24             27            141
App/Modules/SecondHandModule/NetWork/XPAPIManager+SecondHand.m                                                    9              7            136
App/Core/Base/ViewController/XPBaseViewController.m                                                              38              9            131
App/Modules/NeighborhoodModule/ViewController/XPTopicViewController.m                                            33             11            127
App/Core/Category/UIWebView+RACSignal.m                                                                          30             10            124
App/Modules/SecondHandModule/ViewController/XPSecondHandViewController.m                                         16              7            122
App/Modules/CommunityAnnouncementModule/ViewController/XPDetailAnnounceViewController.m                          24             15            121
App/Core/Network/XPAPIManager.m                                                                                  23             11            109
App/Modules/PropertyBillModule/ViewController/XPPropertyBillViewController.m                                     23             11            109
App/Core/Category/UIView+block.m                                                                                 26             11            106
App/Core/Category/SOMotionDetector+RACSignal.m                                                                   21              7            102
App/Modules/LoginModule/ViewModel/XPLoginViewModel.m                                                             20              7            101
App/Core/Category/UINavigationController+XPShouldPop.m                                                           19              7             96
App/Modules/SecondHandModule/View/XPSecondHandCell.m                                                             10              7             94
App/Modules/SecondHandModule/ViewModel/XPSecondHandDetailViewModel.m                                              9              7             90
App/Modules/TopicModule/XPDetailPostViewController.m                                                             39              7             81
App/Modules/SecondHandModule/ViewController/XPSecondHandContentViewController.m                                  15              8             79
